Organization Name,Organization Name URL,SEMrush - Monthly Visits,Number of Contacts,Operating Status,Company Type,Last Funding Date,Full Description,Last Funding Type,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,Top 5 Investors,Number of Lead Investors,Website,Headquarters Regions,Estimated Revenue Range,Twitter,Facebook,LinkedIn,Number of Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Founders,Number of Employees,Founders
Reken,https://www.crunchbase.com/organization/reken,,,Active,For Profit,2024-01-31,"Reken is an AI & cybersecurity firm building a new type of AI platform and products to protect against generative AI-enabled threats, including deepfake social engineering and automated fraud. The company was founded in 2024 and is based in San Francisco, California.",Seed,2024-01-01,day,"Artificial Intelligence (AI), Communications Infrastructure, Cyber Security, Fraud Detection, Information Technology, Machine Learning, Network Security, Security, Software","San Francisco, California, United States",Reken is an AI & cybersecurity firm building a new type of AI platform and products to protect against generative AI-enabled fraud.,167,10000000,USD,10000000,10000000,USD,10000000,10,"Fika Ventures, Jazz Venture Partners, Sequoia Scout, Greycroft, Firebolt Ventures",2,https://reken.ai,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/reken_ai,,https://www.linkedin.com/company/reken-ai/,,,,,,2,1-10,"Rich Griffiths, Shuman Ghosemajumder"
xAI,https://www.crunchbase.com/organization/xai,"157,493",1,Active,For Profit,2023-12-05,xAI is an AI company that seeks to understand the true nature of the universe. The company's goal is to be a useful tool for consumers and businesses and there is value in having multiple entities and competition.,Pre-Seed,2023-07-12,day,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning","Austin, Texas, United States",xAI is an AI company that seeks to understand the true nature of the universe.,395,134679312,USD,134679312,134679312,USD,134679312,1,Roman Smolevskiy,,https://x.ai,Southern US,$10M to $50M,https://twitter.com/xai,,https://www.linkedin.com/company/xaicompany,,,,,,,101-250,
Enkrypt AI,https://www.crunchbase.com/organization/enkrypt-ai,742,2,Active,For Profit,2024-02-27,Enabling faster and secure adoption of Gen AI models in Enterprises.,Seed,2023-03-31,day,"Artificial Intelligence (AI), Asset Management, Digital Marketing, Information Technology","Boston, Massachusetts, United States",Enabling faster and secure adoption of Gen AI models in Enterprises.,"3,302",2350000,USD,2350000,2350000,USD,2350000,6,"Berkeley SkyDeck Fund, Arka Venture Labs, Kubera Venture Capital, Veredas Partners, BoldCap",1,https://www.enkryptai.com,"Greater Boston Area, East Coast, New England",,,,https://www.linkedin.com/company/enkryptai/?viewAsMember=true,,,,,,,1-10,
DatologyAI,https://www.crunchbase.com/organization/datologyai,,,Active,For Profit,2024-02-22,"DatologyAI optimize training efficiency, maximize performance and reduce compute costs with expert curation.",Seed,2023-09-05,day,"Artificial Intelligence (AI), Information Technology","Redwood City, California, United States","DatologyAI optimize training efficiency, maximize performance and reduce compute costs.","3,789",11650000,USD,11650000,11650000,USD,11650000,16,"Douwe Kiela, Radical Ventures, Amplify Partners, Jeff Dean, Adam D’Angelo",1,https://www.datologyai.com/,"San Francisco Bay Area, Silicon Valley, West Coast",,https://twitter.com/datologyai,,https://www.linkedin.com/company/datologyai/about/,,,,,,2,1-10,"Ari Morcos, Bogdan Gaza"
Artisan AI,https://www.crunchbase.com/organization/artisan-ai,"6,981",1,Active,For Profit,2023-12-08,"Artisan AI creates digital workers, called Artisans. The company's first Artisan, Ava, automates the entire outbound sales process and can be set up with a 10-minute conversation. Ava creates TCPs, and prospects with her database of over 270,000,000 contacts, crafts and sends highly bespoke email sequences, and books meetings into the user's calendar. The user can manage all features and settings by talking to Ava via Slack.",Venture - Series Unknown,2023-09-14,day,"Artificial Intelligence (AI), Information Technology, Internet, SaaS, Software","San Francisco, California, United States","Artisan AI develops digital workers known as Artisans, with human-like attributes, to automate end-to-end job workflows.","4,471",,,,2300000,USD,2300000,4,"Y Combinator, Sequoia Scout, Oliver Jung, Bayhouse Capital",3,https://artisan-ai.com,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,https://twitter.com/gerartisanai,,https://www.linkedin.com/company/artisanai,,,,,,2,11-50,"Jaspar Carmichael-Jack, Rupert Dodkins"
Ocular AI,https://www.crunchbase.com/organization/ocular-ai,,,Active,For Profit,2024-02-01,"Ocular is a Cloud and Artificial Intelligence company, backed by Y Combinator, bringing Enterprise AI and Search to the Workplace and Engineering.",Pre-Seed,2024-01-01,year,"Artificial Intelligence (AI), B2B, Cloud Infrastructure, Generative AI, Machine Learning, SaaS","San Francisco, California, United States",Enterprise AI and Search for the Workplace and Engineering.,"4,712",500000,USD,500000,500000,USD,500000,1,Y Combinator,1,https://www.useocular.com,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/use-ocular,,,,,,2,1-10,"Louis Murerwa, Michael Moyo"
Optimizer AI,https://www.crunchbase.com/organization/optimizer-ai,,,Active,For Profit,2024-01-17,Optimizer AI creates AI technology to swiftly and simply generate resources required for game and content development.,Pre-Seed,2023-07-01,month,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States",Optimizer AI creates AI technology to swiftly and simply generate resources required for game and content development.,"5,003",1000000000,KRW,742854,1000000000,KRW,742854,2,"Andreessen Horowitz, Krew Capital",2,https://www.optimizerai.xyz,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,
Rubix,https://www.crunchbase.com/organization/rubix-b1b8,,2,Active,For Profit,2023-11-21,,Pre-Seed,2023-06-29,day,"Artificial Intelligence (AI), Content Creators, SaaS, Software","Redmond, Washington, United States",AI creator platform that enables users to create their own AI and share.,"8,454",500000000,KRW,385754,500000000,KRW,385755,2,"Klim Ventures, Washington Technology Industry Association (WTIA)",2,https://joingobi.com,"Greater Seattle Area, West Coast, Western US",,,,https://www.linkedin.com/company/96347701,,,,,,2,1-10,"Hoon Moon, Minsuk Kang"
Factory,https://www.crunchbase.com/organization/factory-19d8,,,Active,For Profit,2023-11-02,,Seed,2023-04-01,month,"Artificial Intelligence (AI), Developer Tools, Software, Software Engineering","San Francisco, California, United States",The machine that builds the machine.,"8,702",5000000,USD,5000000,5000000,USD,5000000,4,"Sequoia Capital, Clément Delangue, Lux Capital, Ali Ghodsi",2,https://www.factory.ai/,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/factoryAI_,,,,,,,,2,1-10,"Eno Reyes, Matan Grinberg"
Wraithwatch,https://www.crunchbase.com/organization/wraithwatch,,,Active,For Profit,2023-11-02,Wraithwatch develops an AI-driven cybersecurity platform designed to anticipate and counter AI-powered cyberattacks through the use of large language models.,Seed,2023-10-01,month,"Artificial Intelligence (AI), Cyber Security, Software","Bozeman, Montana, United States",Wraithwatch is a developer of an AI-driven cybersecurity platform.,"8,730",8000000,USD,8000000,8000000,USD,8000000,3,"Founders Fund, Human Capital, XYZ Venture Capital",,https://www.wraithwatch.com,Western US,,https://twitter.com/wraithwatch,,https://www.linkedin.com/company/wraithwatch,,,,,,3,1-10,"Carlos Mas, Nik Seetharaman, Savannah Grace Clemente"
